Start,Ziel,Entfernung
LANDAU - SUED (A 65),INSHEIM (A 65),2
INSHEIM (A 65),ROHRBACH (A 65),2
ROHRBACH (A 65),KANDEL - NORD (A 65),4
KANDEL - NORD (A 65),KANDEL - MITTE (A 65),3
KANDEL - MITTE (A 65),KANDEL - SUED (A 65),2
KANDEL - SUED (A 65),WOERTH - DORSCHBERG (A 65),3
WOERTH - DORSCHBERG (A 65),WOERTHER KREUZ (A 65),3
WOERTHER KREUZ (A 65),HAGENBACH - NORD (A 65),1
HAGENBACH - NORD (A 65),HAGENBACH - SUED (A 65),2
HAGENBACH - SUED (A 65),KREUZ KARLSRUHE - NORD,20
WIESBADEN - FRAUENSTEIN (A 66),SCHIERSTEINER KREUZ,3
SCHIERSTEINER KREUZ,WIESBADEN - BIEBRICH (A 66),2
WIESBADEN - BIEBRICH (A 66),KREUZ WIESBADEN - MAINZER STRASSE,1
KREUZ WIESBADEN - MAINZER STRASSE,WIESBADEN - ERBENHEIM (A 66),3
WIESBADEN - ERBENHEIM (A 66),WIESBADEN - NORDENSTADT (A 66),4
WIESBADEN - NORDENSTADT (A 66),WALLAU (A 66),2
WALLAU (A 66),WIESBADENER KREUZ,1
WIESBADENER KREUZ,DIEDENBERGEN (A 66),1
DIEDENBERGEN (A 66),HOFHEIM (A 66),2
HOFHEIM (A 66),HATTERSHEIM  (Westteil) (A 66),3
HATTERSHEIM  (Westteil) (A 66),HATTERSHEIM  (Ostteil) (A 66),0.5
HATTERSHEIM  (Ostteil) (A 66),KRIFTELER DREIECK (A 66),1
KRIFTELER DREIECK (A 66),FRANKFURT - ZEILSHEIM (A 66),2
FRANKFURT - ZEILSHEIM (A 66),KELKHEIM (A 66),3
KELKHEIM (A 66),KREUZ FRANKFURT - HOECHST,1
KREUZ FRANKFURT - HOECHST,ESCHBORN (A 66),3
ESCHBORN (A 66),ESCHBORNER DREIECK,0.5
ESCHBORNER DREIECK,NORDWESTKREUZ FRANKFURT  (Westteil) (A 66),1
NORDWESTKREUZ FRANKFURT  (Westteil) (A 66),NORDWESTKREUZ FRANKFURT,0.3
NORDWESTKREUZ FRANKFURT,FRANKFURT - LUDWIG - LANDMANN - STRASSE (A 66),2
FRANKFURT - LUDWIG - LANDMANN - STRASSE (A 66),FRANKFURT - MIQUELALLEE (A 66),3
FRANKFURT - MIQUELALLEE (A 66),FRANKFURT - NIEBELUNGENALLEE (A 66),2.3
FRANKFURT - NIEBELUNGENALLEE (A 66),FRANKFURT - FRIEDBERGER LANDSTRASSE (A 66),0.5
FRANKFURT - FRIEDBERGER LANDSTRASSE (A 66),DREIECK SECKBACH,1
DREIECK SECKBACH,DREIECK ERLENBRUCH,2
DREIECK ERLENBRUCH,FRANKFURT - BORSIGALLEE (A 66),2
FRANKFURT - BORSIGALLEE (A 66),FRANKFURT - BERGEN - ENKHEIM (A 66),0.2
FRANKFURT - BERGEN - ENKHEIM (A 66),MAINTAL - BISCHOFSHEIM (A 66),4
MAINTAL - BISCHOFSHEIM (A 66),MAINTAL - DOERNIGHEIM (A 66),2
MAINTAL - DOERNIGHEIM (A 66),HANAU - WEST (A 66),2
HANAU - WEST (A 66),HANAU - NORD (A 66),4
HANAU - NORD (A 66),ERLENSEE (A 66),4
ERLENSEE (A 66),HANAUER KREUZ (A 66),2
HANAUER KREUZ (A 66),LANGENSELBOLDER DREIECK,4
LANGENSELBOLDER DREIECK,LANGENSELBOLD (A 66),2
LANGENSELBOLD (A 66),GRUENDAU - ROTHENBERGEN (A 66),5
GRUENDAU - ROTHENBERGEN (A 66),GRUENDAU - LIEBLOS (A 66),2
GRUENDAU - LIEBLOS (A 66),GELNHAUSEN - WEST (A 66),4
GELNHAUSEN - WEST (A 66),GELNHAUSEN - OST (A 66),3
GELNHAUSEN - OST (A 66),BAD ORB / WAECHTERSBACH (A 66),7
BAD ORB / WAECHTERSBACH (A 66),BAD SODEN - SALMUENSTER (A 66),8
BAD SODEN - SALMUENSTER (A 66),STEINAU (A 66),7
STEINAU (A 66),SCHLUECHTERN - SUED (A 66),3
SCHLUECHTERN - SUED (A 66),SCHLUECHTERN - NORD (A 66),8
SCHLUECHTERN - NORD (A 66),FLIEDEN (A 66),5
FLIEDEN (A 66),NEUHOF - SUED (A 66),4
NEUHOF - SUED (A 66),NEUHOF - OST (A 66),4
NEUHOF - OST (A 66),FULDA - SUED (A 66),3.5
FULDA - SUED (A 66),EICHENZELL (A 66),1
EICHENZELL (A 66),DREIECK FULDA,1
DREIECK FULDA,DREIECK FULDA - MITTE,9
MOENCHHOF - DREIECK,RUESSELSHEIM - OST (A 67),5
RUESSELSHEIM - OST (A 67),RUESSELSHEIMER DREIECK,1
RUESSELSHEIMER DREIECK,GROSS - GERAU (A 67),6
GROSS - GERAU (A 67),BUETTELBORN (A 67),4
BUETTELBORN (A 67),DREIECK DARMSTADT / GRIESHEIM,6
DREIECK DARMSTADT / GRIESHEIM,DARMSTAEDTER KREUZ,2
DARMSTAEDTER KREUZ,PFUNGSTADT (A 67),7
PFUNGSTADT (A 67),GERNSHEIM (A 67),7
GERNSHEIM (A 67),LORSCH (A 67),9
LORSCH (A 67),VIERNHEIMER DREIECK,12
KREUZ SCHWEINFURT / WERNECK,WERNECK (A 70),3
WERNECK (A 70),DREIECK WERNTAL,4
DREIECK WERNTAL,SCHWEINFURT / BERGRHEINFELD (A 70),2
SCHWEINFURT / BERGRHEINFELD (A 70),SCHWEINFURT - HAFEN (A 70),2
SCHWEINFURT - HAFEN (A 70),SCHWEINFURT - ZENTRUM (A 70),1
SCHWEINFURT - ZENTRUM (A 70),GOCHSHEIM (A 70),2
GOCHSHEIM (A 70),SCHONUNGEN (A 70),5
SCHONUNGEN (A 70),HASSFURT (A 70),8
HASSFURT (A 70),KNETZGAU (A 70),10
KNETZGAU (A 70),ELTMANN (A 70),8
ELTMANN (A 70),VIERETH - TRUNSTADT (A 70),10
VIERETH - TRUNSTADT (A 70),BAMBERG - HAFEN (A 70),6
BAMBERG - HAFEN (A 70),HALLSTADT (A 70),1
HALLSTADT (A 70),BAMBERG (A 70),2
BAMBERG (A 70),KREUZ BAMBERG,2
KREUZ BAMBERG,SCHESSLITZ (A 70),11
SCHESSLITZ (A 70),ROSSDORF (A 70),6
ROSSDORF (A 70),STADELHOFEN (A 70),6
STADELHOFEN (A 70),SCHIRRADORF (A 70),9
SCHIRRADORF (A 70),THURNAU - WEST (A 70),5
THURNAU - WEST (A 70),THURNAU - OST (A 70),2
THURNAU - OST (A 70),KULMBACH / NEUDROSSENFELD (A 70),6
KULMBACH / NEUDROSSENFELD (A 70),HARSDORF (A 70),5
HARSDORF (A 70),DREIECK BAYREUTH / KULMBACH,4
DREIECK BAYREUTH / KULMBACH,BAD BERNECK / HIMMELKRON (A 70),3
BAD BERNECK / HIMMELKRON (A 70),MARKTSCHORGAST (A 70),5
MARKTSCHORGAST (A 70),GEFREES (A 70),3
DREIECK SUEDHARZ,ARTERN (A 71),8
ARTERN (A 71),HELDRUNGEN (A 71),9
HELDRUNGEN (A 71),KOELLEDA (A 71),13
KOELLEDA (A 71),SOEMMERDA - OST (A 71),6
SOEMMERDA - OST (A 71),SOEMMERDA - SUED (A 71),6
SOEMMERDA - SUED (A 71),ERFURT - NORD (A 71),11
ERFURT - NORD (A 71),ERFURT - STOTTERNHEIM (A 71),2
ERFURT - STOTTERNHEIM (A 71),ERFURT - MITTELHAUSEN (A 71),3
ERFURT - MITTELHAUSEN (A 71),ERFURT - GISPERSLEBEN (A 71),2
ERFURT - GISPERSLEBEN (A 71),ERFURT - BINDERSLEBEN (A 71),10
ERFURT - BINDERSLEBEN (A 71),KREUZ ERFURT,8
KREUZ ERFURT,ARNSTADT - NORD (A 71),6
ARNSTADT - NORD (A 71),ARNSTADT - SUED (A 71),3
ARNSTADT - SUED (A 71),ILMENAU - OST (A 71),13
ILMENAU - OST (A 71),ILMENAU - WEST (A 71),5
ILMENAU - WEST (A 71),GRAEFENRODA (A 71),5
GRAEFENRODA (A 71),OBERHOF (A 71),13
OBERHOF (A 71),SUHL / ZELLA - MEHLIS (A 71),3
SUHL / ZELLA - MEHLIS (A 71),DREIECK SUHL,5
DREIECK SUHL,DREIECK MEININGEN - NORD,14
DREIECK MEININGEN - NORD,MEININGEN - SUED (A 71),6
MEININGEN - SUED (A 71),RENTWERTSHAUSEN (A 71),9
RENTWERTSHAUSEN (A 71),MELLRICHSTADT (A 71),9
MELLRICHSTADT (A 71),BAD NEUSTADT (A 71),10
BAD NEUSTADT (A 71),MUENNERSTADT (A 71),10
MUENNERSTADT (A 71),MASSBACH (A 71),7
MASSBACH (A 71),BAD KISSINGEN / OERLENBACH (A 71),8
BAD KISSINGEN / OERLENBACH (A 71),POPPENHAUSEN (A 71),6
POPPENHAUSEN (A 71),SCHWEINFURT - WEST (A 71),4
SCHWEINFURT - WEST (A 71),DREIECK WERNTAL,6
DREIECK BAYERISCHES VOGTLAND,HOF - NORD (A 72),3
HOF - NORD (A 72),HOF / TOEPEN (A 72),6
HOF / TOEPEN (A 72),DREIECK HOCHFRANKEN,5
DREIECK HOCHFRANKEN,PIRK (A 72),11
PIRK (A 72),PLAUEN - SUED (A 72),5
PLAUEN - SUED (A 72),PLAUEN - OST (A 72),8
PLAUEN - OST (A 72),TREUEN (A 72),8
TREUEN (A 72),REICHENBACH (A 72),7
REICHENBACH (A 72),ZWICKAU - WEST (A 72),10
ZWICKAU - WEST (A 72),ZWICKAU - OST (A 72),11
ZWICKAU - OST (A 72),HARTENSTEIN (A 72),9
HARTENSTEIN (A 72),STOLLBERG - WEST (A 72),4
STOLLBERG - WEST (A 72),STOLLBERG - NORD (A 72),3
STOLLBERG - NORD (A 72),KREUZ CHEMNITZ - SUED,11
KREUZ CHEMNITZ - SUED,CHEMNITZ - ROTTLUFF (A 72),2
CHEMNITZ - ROTTLUFF (A 72),KREUZ CHEMNITZ,3
KREUZ CHEMNITZ,CHEMNITZ - ROEHRSDORF (A 72),3
CHEMNITZ - ROEHRSDORF (A 72),HARTMANNSDORF (A 72),2
HARTMANNSDORF (A 72),NIEDERFROHNA (A 72),5
NIEDERFROHNA (A 72),PENIG (A 72),6
PENIG (A 72),NARSDORF (A 72),7
NARSDORF (A 72),GEITHAIN (A 72),7
GEITHAIN (A 72),FROHBURG (A 72),7
FROHBURG (A 72),BORNA - SUED (A 72),6
BORNA - SUED (A 72),BORNA - NORD (A 72),3
BORNA - NORD (A 72),ESPENHAIN (A 72),5
ESPENHAIN (A 72),ROETHA (A 72),5
ROETHA (A 72),BOEHLEN (A 72),4
DREIECK SUHL,SUHL - ZENTRUM (A 73),3
SUHL - ZENTRUM (A 73),SUHL - FRIEDBERG (A 73),5
SUHL - FRIEDBERG (A 73),SCHLEUSINGEN (A 73),8
SCHLEUSINGEN (A 73),EISFELD - NORD (A 73),12
EISFELD - NORD (A 73),EISFELD - SUED (A 73),6
EISFELD - SUED (A 73),COBURG (A 73),13
COBURG (A 73),NEUSTADT (A 73),2
NEUSTADT (A 73),ROEDENTAL (A 73),1
ROEDENTAL (A 73),EBERSDORF (A 73),8
EBERSDORF (A 73),UNTERSIEMAU (A 73),7
UNTERSIEMAU (A 73),LICHTENFELS - NORD (A 73),3
LICHTENFELS - NORD (A 73),LICHTENFELS (A 73),2
LICHTENFELS (A 73),BAD STAFFELSTEIN - KURZENTRUM (A 73),2
BAD STAFFELSTEIN - KURZENTRUM (A 73),BAD STAFFELSTEIN (A 73),2
BAD STAFFELSTEIN (A 73),EBENSFELD (A 73),5
EBENSFELD (A 73),ZAPFENDORF (A 73),6
ZAPFENDORF (A 73),BREITENGUESSBACH - NORD (A 73),6
BREITENGUESSBACH - NORD (A 73),BREITENGUESSBACH - MITTE (A 73),1
BREITENGUESSBACH - MITTE (A 73),BREITENGUESSBACH - SUED (A 73),2
BREITENGUESSBACH - SUED (A 73),KREUZ BAMBERG,4
KREUZ BAMBERG,MEMMELSDORF (A 73),1
MEMMELSDORF (A 73),BAMBERG - OST (A 73),2
BAMBERG - OST (A 73),DREIECK BAMBERG - SUED  (Nordteil),3
DREIECK BAMBERG - SUED  (Nordteil),BAMBERG - SUED  (Südteil) (A 73),1
BAMBERG - SUED  (Südteil) (A 73),HIRSCHAID (A 73),6
HIRSCHAID (A 73),BUTTENHEIM (A 73),4
BUTTENHEIM (A 73),FORCHHEIM - NORD (A 73),7
FORCHHEIM - NORD (A 73),FORCHHEIM - SUED (A 73),5
FORCHHEIM - SUED (A 73),BAIERSDORF - NORD (A 73),3
BAIERSDORF - NORD (A 73),MOEHRENDORF (A 73),5
MOEHRENDORF (A 73),ERLANGEN - NORD (A 73),3
ERLANGEN - NORD (A 73),ERLANGEN - ZENTRUM (A 73),2
ERLANGEN - ZENTRUM (A 73),ERLANGEN - BRUCK (A 73),1
ERLANGEN - BRUCK (A 73),KREUZ FUERTH / ERLANGEN,3
KREUZ FUERTH / ERLANGEN,ERLANGEN - ELTERSDORF (A 73),2
ERLANGEN - ELTERSDORF (A 73),FUERTH - STEINACH (A 73),2
FUERTH - STEINACH (A 73),FUERTH - RONHOF (A 73),3
FUERTH - RONHOF (A 73),FUERTH - POPPENREUTH (A 73),2
FUERTH - POPPENREUTH (A 73),NUERNBERG / FUERTH (A 73),2
NUERNBERG / FUERTH (A 73),NUERNBERG - HAFEN - OST (A 73),5.8
NUERNBERG - HAFEN - OST (A 73),NUERNBERG - KOENIGSHOF (A 73),2
NUERNBERG - KOENIGSHOF (A 73),NUERNBERG - ZOLLHAUS (A 73),2
NUERNBERG - ZOLLHAUS (A 73),KREUZ NUERNBERG - SUE,2
KREUZ NUERNBERG - SUE,ROETHENBACH (Westteil) (A 73),2
ROETHENBACH (Westteil) (A 73),ROETHENBACH (Ostteil) (A 73),1
ROETHENBACH (Ostteil) (A 73),FEUCHT (A 73),2
FEUCHT (A 73),DREIECK NUERNBERG / FEUCHT,2
DREIECK WUERZBURG - WEST,GERCHSHEIM (A 81),3
GERCHSHEIM (A 81),TAUBERBISCHOFSHEIM (A 81),18
TAUBERBISCHOFSHEIM (A 81),AHORN (A 81),11
AHORN (A 81),BOXBERG (A 81),8
BOXBERG (A 81),OSTERBURKEN (A 81),10
OSTERBURKEN (A 81),MOECKMUEHL (A 81),18
MOECKMUEHL (A 81),NEUENSTADT (A 81),5
NEUENSTADT (A 81),KREUZ WEINSBERG,11
KREUZ WEINSBERG,WEINSBERG / ELLHOFEN (A 81),2
WEINSBERG / ELLHOFEN (A 81),HEILBRONN / UNTERGRUPPENBACH (A 81),6
HEILBRONN / UNTERGRUPPENBACH (A 81),ILSFELD (A 81),3
ILSFELD (A 81),MUNDELSHEIM (A 81),6
MUNDELSHEIM (A 81),PLEIDELSHEIM (A 81),5
PLEIDELSHEIM (A 81),KREUZ LUDWIGSBURG - NORD,6
KREUZ LUDWIGSBURG - NORD,LUDWIGSBURG - SUED (A 81),4
LUDWIGSBURG - SUED (A 81),KREUZ STUTTGART - ZUFFENHAUSEN,4
KREUZ STUTTGART - ZUFFENHAUSEN,STUTTGART - FEUERBACH (A 81),5
STUTTGART - FEUERBACH (A 81),DREIECK LEONBERG,7
DREIECK LEONBERG,KREUZ STUTTGART,8
KREUZ STUTTGART,SINDELFINGEN - OST (A 81),3
SINDELFINGEN - OST (A 81),BOEBLINGEN - OST (A 81),1
BOEBLINGEN - OST (A 81),BOEBLINGEN / SINDELFINGEN (A 81),3
BOEBLINGEN / SINDELFINGEN (A 81),BOEBLINGEN - HULB (A 81),3
BOEBLINGEN - HULB (A 81),EHNINGEN (A 81),2
EHNINGEN (A 81),HILDRIZHAUSEN (A 81),3
HILDRIZHAUSEN (A 81),GAERTRINGEN,2
GAERTRINGEN,HERRENBERG (A 81),7
HERRENBERG (A 81),KREUZ ROTTENBURG,11
KREUZ ROTTENBURG,HORB (A 81),11
HORB (A 81),EMPFINGEN (A 81),6
EMPFINGEN (A 81),SULZ (A 81),7
SULZ (A 81),OBERNDORF (A 81),6
OBERNDORF (A 81),ROTTWEIL (A 81),16
ROTTWEIL (A 81),KREUZ VILLINGEN - SCHWENNINGEN,10
KREUZ VILLINGEN - SCHWENNINGEN,TUNINGEN (A 81),7
TUNINGEN (A 81),DREIECK BAD DUERRHEIM,4
DREIECK BAD DUERRHEIM,GEISINGEN (A 81),11
GEISINGEN (A 81),ENGEN (A 81),14
ENGEN (A 81),KREUZ HEGAU,7
KREUZ HEGAU,SINGE (A 81),3
SINGE (A 81),HILZINGEN (A 81),4
HILZINGEN (A 81),GOTTMADINGEN (A 81),5
GOTTMADINGEN (A 81),Bundesgrenze Gottmadingen D-CH (A 81),8
DREIECK MUENCHEN - FELDMOCHING,OBERSCHLEISSHEIM (A 92),3
OBERSCHLEISSHEIM (A 92),UNTERSCHLEISSHEIM (A 92),6
UNTERSCHLEISSHEIM (A 92),KREUZ NEUFAHRN,4
KREUZ NEUFAHRN,ECHING - OST (A 92),1
ECHING - OST (A 92),FREISING - SUED (A 92),5
FREISING - SUED (A 92),DREIECK FLUGHAFEN MUENCHEN - F. J. STRAUSS,3
DREIECK FLUGHAFEN MUENCHEN - F. J. STRAUSS,FREISING - MITTE (A 92),3
FREISING - MITTE (A 92),FREISING - OST (A 92),3
FREISING - OST (A 92),ERDING (A 92),6
ERDING (A 92),MOOSBURG - SUED (A 92),10
MOOSBURG - SUED (A 92),MOOSBURG - NORD (A 92),4
MOOSBURG - NORD (A 92),LANDSHUT - WEST (A 92),9
LANDSHUT - WEST (A 92),ALTDORF (A 92),5
ALTDORF (A 92),LANDSHUT - NORD (A 92),3
LANDSHUT - NORD (A 92),LANDSHUT / ESSENBACH (A 92),4
LANDSHUT / ESSENBACH (A 92),KREUZ ESSENBACH,3
KREUZ ESSENBACH,WOERTH (A 92),8
WOERTH (A 92),DINGOLFING - WEST (A 92),12
DINGOLFING - WEST (A 92),DINGOLFING - OST (A 92),4
DINGOLFING - OST (A 92),PILSTING - GROSSKOELLNBACH (A 92),7
PILSTING - GROSSKOELLNBACH (A 92),LANDAU (A 92),5
LANDAU (A 92),WALLERSDORF - WEST (A 92),5
WALLERSDORF - WEST (A 92),WALLERSDORF - NORD (A 92),3
WALLERSDORF - NORD (A 92),PLATTLING - WEST (A 92),9
PLATTLING - WEST (A 92),PLATTLING - NORD (A 92),5
PLATTLING - NORD (A 92),KREUZ DEGGENDORF,4
KREUZ DEGGENDORF,DEGGENDORF - MITTE (A 92),2
DREIECK HOCHFRANKEN,HOF - OST (A 93),4
HOF - OST (A 93),REGNITZLOSAU (A 93),7
REGNITZLOSAU (A 93),HOF - SUED,5
HOF - SUED,REHAU - NORD (A 93),1
REHAU - NORD (A 93),REHAU - SUED (A 93),2
REHAU - SUED (A 93),SCHOENWALD (A 93),4
SCHOENWALD (A 93),SELB - NORD (A 93),6
SELB - NORD (A 93),SELB - WEST (A 93),2
SELB - WEST (A 93),HOECHSTAEDT (A 93),8
HOECHSTAEDT (A 93),THIERSHEIM (A 93),4
THIERSHEIM (A 93),WUNSIEDEL (A 93),4
WUNSIEDEL (A 93),MARKTREDWITZ - NORD (A 93),3
MARKTREDWITZ - NORD (A 93),MARKTREDWITZ - SUED (A 93),2
MARKTREDWITZ - SUED (A 93),PECHBRUNN (A 93),3
PECHBRUNN (A 93),MITTERTEICH - NORD (A 93),7
MITTERTEICH - NORD (A 93),MITTERTEICH - SUED (A 93),2
MITTERTEICH - SUED (A 93),WIESAU (A 93),3
WIESAU (A 93),FALKENBERG (A 93),7
FALKENBERG (A 93),WINDISCHESCHENBACH (A 93),7
WINDISCHESCHENBACH (A 93),NEUSTADT (A 93),8
NEUSTADT (A 93),ALTENSTADT (A 93),2
ALTENSTADT (A 93),WEIDEN - NORD (A 93),3
WEIDEN - NORD (A 93),WEIDEN - WEST (A 93),2
WEIDEN - WEST (A 93),WEIDEN - FRAUENRICHT (A 93),1
WEIDEN - FRAUENRICHT (A 93),WEIDEN - SUED (A 93),3
WEIDEN - SUED (A 93),LUHE - WILDENAU (A 93),7
LUHE - WILDENAU (A 93),WERNBERG - KOEBLITZ (A 93),7
WERNBERG - KOEBLITZ (A 93),KREUZ OBERPFAELZER WALD,2
KREUZ OBERPFAELZER WALD,PFREIMD (A 93),4
PFREIMD (A 93),NABBURG (A 93),4
NABBURG (A 93),SCHWARZENFELD (A 93),8
SCHWARZENFELD (A 93),SCHWANDORF - NORD (A 93),5
SCHWANDORF - NORD (A 93),SCHWANDORF - MITTE (A 93),3
SCHWANDORF - MITTE (A 93),SCHWANDORF - SUED (A 93),5
SCHWANDORF - SUED (A 93),TEUBLITZ (A 93),6
TEUBLITZ (A 93),PONHOLZ (A 93),7
PONHOLZ (A 93),REGENSTAUF (A 93),4
REGENSTAUF (A 93),REGENSBURG - NORD (A 93),9
REGENSBURG - NORD (A 93),REGENSBURG - PFAFFENSTEIN (A 93),2
REGENSBURG - PFAFFENSTEIN (A 93),REGENSBURG - WEST (A 93),1
REGENSBURG - WEST (A 93),REGENSBURG - PRUEFENING (A 93),1
REGENSBURG - PRUEFENING (A 93),REGENSBURG - KOENIGSWIESEN (A 93),1
REGENSBURG - KOENIGSWIESEN (A 93),REGENSBURG - KUMPFMUEHL (A 93),1
REGENSBURG - KUMPFMUEHL (A 93),KREUZ REGENSBURG,1
KREUZ REGENSBURG,REGENSBURG - SUED (A 93),2
REGENSBURG - SUED (A 93),BAD ABBACH (A 93),5
BAD ABBACH (A 93),DREIECK SAALHAUPT,5
DREIECK SAALHAUPT,HAUSEN (A 93),6
HAUSEN (A 93),ABENSBERG (A 93),7
ABENSBERG (A 93),SIEGENBURG (A 93),9
SIEGENBURG (A 93),ELSENDORF (A 93),7
ELSENDORF (A 93),AIGLSBACH (A 93),6
AIGLSBACH (A 93),MAINBURG (A 93),7
MAINBURG (A 93),WOLNZACH (A 93),7
WOLNZACH (A 93),DREIECK HOLLEDAU,4
DREIECK HOLLEDAU,DREIECK INNTAL,200
DREIECK INNTAL,REISCHENHART (A 93),6
REISCHENHART (A 93),BRANNENBURG (A 93),3
BRANNENBURG (A 93),OBERAUDORF (A 93),11
OBERAUDORF (A 93),KIEFERSFELDEN (A 93),3
KIEFERSFELDEN (A 93),Bundesgrenze Kiefersfelden D-A (A 93),2
DREIECK MUENCHEN - STEINHAUSEN,MUENCHEN - STEINHAUSEN (A 94),1
MUENCHEN - STEINHAUSEN (A 94),MUENCHEN - ZAMDORF (A 94),1
MUENCHEN - ZAMDORF (A 94),MUENCHEN - DAGLFING (A 94),1
MUENCHEN - DAGLFING (A 94),MUENCHEN - AM MOOSFELD (A 94),1
MUENCHEN - AM MOOSFELD (A 94),MUENCHEN - RIEM (A 94),1
MUENCHEN - RIEM (A 94),FELDKIRCHEN - WEST (A 94),2
FELDKIRCHEN - WEST (A 94),FELDKIRCHEN - OST (A 94),3
FELDKIRCHEN - OST (A 94),KREUZ MUENCHEN - OST,1
KREUZ MUENCHEN - OST,PARSDORF (A 94),2
PARSDORF (A 94),MARKT SCHWABEN (A 94),3
MARKT SCHWABEN (A 94),ANZING (A 94),2
ANZING (A 94),FORSTINNING (A 94),3
FORSTINNING (A 94),FORSTINNING - NORD (A 94),2
FORSTINNING - NORD (A 94),PASTETTEN (A 94),4
PASTETTEN (A 94),LENGDORF (A 94),8
LENGDORF (A 94),DORFEN (A 94),10
DORFEN (A 94),KREUZ SCHWINDEGG,9
KREUZ SCHWINDEGG,HELDENSTEIN (A 94),6
HELDENSTEIN (A 94),AMPFING (A 94),4.5
AMPFING (A 94),MUEHLDORF - WEST   KREUZ METTENHEIM,2
MUEHLDORF - WEST   KREUZ METTENHEIM,MUEHLDORF - NORD (A 94),10
MUEHLDORF - NORD (A 94),TOEGING (A 94),4
TOEGING (A 94),ALTOETTING (A 94),5
ALTOETTING (A 94),NEUOETTING (A 94),2
NEUOETTING (A 94),NEUOETTING - OST (A 94),5
NEUOETTING - OST (A 94),BURGHAUSEN (A 94),6
DREIECK MUENCHEN - SENDLING - SUED,MUENCHEN - KREUZHOF (A 95),1
MUENCHEN - KREUZHOF (A 95),MUENCHEN - FUERSTENRIED (A 95),2
MUENCHEN - FUERSTENRIED (A 95),KREUZ FORSTENRIEDER PARK,6
KREUZ FORSTENRIEDER PARK,DREIECK STARNBERG,3
DREIECK STARNBERG,SCHAEFTLARN (A 95),3
SCHAEFTLARN (A 95),WOLFRATSHAUSEN (A 95),11
WOLFRATSHAUSEN (A 95),SEESHAUPT (A 95),10
SEESHAUPT (A 95),PENZBERG / IFFELDORF (A 95),6
PENZBERG / IFFELDORF (A 95),SINDELSDORF (A 95),5
SINDELSDORF (A 95),MURNAU / KOCHEL (A 95),7
MURNAU / KOCHEL (A 95),ESCHENLOHE (A 95),12
LINDAU,SIGMARSZELL (A 96),3
SIGMARSZELL (A 96),WEISSENSBERG (A 96),2
WEISSENSBERG (A 96),KREUZ BODENSEE,3
KREUZ BODENSEE,WANGEN - WEST (A 96),11
WANGEN - WEST (A 96),WANGEN - NORD (A 96),6
WANGEN - NORD (A 96),KISSLEGG (A 96),4
KISSLEGG (A 96),LEUTKIRCH - SUED (A 96),10
LEUTKIRCH - SUED (A 96),LEUTKIRCH - WEST (A 96),2
LEUTKIRCH - WEST (A 96),AICHSTETTEN (A 96),7
AICHSTETTEN (A 96),AITRACH (A 96),7
AITRACH (A 96),KREUZ MEMMINGEN,8
KREUZ MEMMINGEN,MEMMINGEN - NORD (A 96),0.4
MEMMINGEN - NORD (A 96),MEMMINGEN - OST (A 96),3
MEMMINGEN - OST (A 96),HOLZGUENZ (A 96),6
HOLZGUENZ (A 96),ERKHEIM (A 96),4
ERKHEIM (A 96),STETTEN (A 96),9
STETTEN (A 96),MINDELHEIM (A 96),5
MINDELHEIM (A 96),BAD WOERISHOFEN (A 96),9
BAD WOERISHOFEN (A 96),BUCHLOE - WEST (A 96),7
BUCHLOE - WEST (A 96),JENGEN / KAUFBEUREN (A 96),1
JENGEN / KAUFBEUREN (A 96),BUCHLOE - OST (A 96),2
BUCHLOE - OST (A 96),LANDSBERG - WEST,7
LANDSBERG - WEST,LANDSBERG - NORD (A 96),3
LANDSBERG - NORD (A 96),LANDSBERG - OST (A 96),3
LANDSBERG - OST (A 96),SCHOEFFELDING (A 96),8
SCHOEFFELDING (A 96),WINDACH (A 96),3
WINDACH (A 96),GREIFENBERG (A 96),5
GREIFENBERG (A 96),INNING (A 96),4
INNING (A 96),WOERTHSEE (A 96),6
WOERTHSEE (A 96),OBERPFAFFENHOFEN (A 96),5
OBERPFAFFENHOFEN (A 96),GILCHING  (Westteil) (A 96),2
GILCHING  (Westteil) (A 96),GILCHING  (Ostteil) (A 96),0.5
GILCHING  (Ostteil) (A 96),GERMERING - SUED (A 96),5.5
GERMERING - SUED (A 96),DREIECK MUENCHEN - SUEDWEST,2
DREIECK MUENCHEN - SUEDWEST,MUENCHEN - FREIHAM-SUED (A 96),1
MUENCHEN - FREIHAM-SUED (A 96),GRAEFELFING (A 96),3
GRAEFELFING (A 96),MUENCHEN - BLUMENAU (A 96),2
MUENCHEN - BLUMENAU (A 96),MUENCHEN - LAIM (A 96),2
MUENCHEN - LAIM (A 96),KREUZ MUENCHEN - SENDLING,1
DREIECK WEIL,EIMELDINGEN (A 98),2
EIMELDINGEN (A 98),BINZEN (A 98),1
BINZEN (A 98),KANDERN (A 98),2
KANDERN (A 98),LOERRACH - MITTE (A 98),2
LOERRACH - MITTE (A 98),LOERRACH - OST (A 98),4
LOERRACH - OST (A 98),DREIECK HOCHRHEIN,5
DREIECK HOCHRHEIN,RHEINFELDEN - KARSAU (A 98),2
RHEINFELDEN - KARSAU (A 98),WALLBACH (A 98),11
WALLBACH (A 98),BAD SAECKINGEN (A 98),4
BAD SAECKINGEN (A 98),GOTTMADINGEN (A 98),85
